id,segment,name,status,end_date,start_date,budget,spend
307,High CLV Customers,VIP Rewards,Completed,10/27/2025,6/18/2025,50119,40828
308,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,7/7/2025,12/13/2024,74976,58442
309,New Signups (Last 30 Days),New Signup Nurture,Active,3/10/2025,7/5/2025,6258,4999
310,Inactive > 90 Days,Come-Back Offer,Completed,8/1/2025,6/28/2025,43516,32828
311,Churn Risk,Reactivation Journey,Completed,4/8/2025,4/11/2025,47869,44733
312,Inactive > 90 Days,Deep Winback,Completed,9/2/2025,3/7/2025,39286,42701
313,Inactive > 90 Days,Deep Winback,Active,2/5/2025,1/28/2025,74491,72238
314,Churn Risk,Reactivation Journey,Scheduled,8/24/2025,3/19/2025,99521,106193
315,High CLV Customers,Premium Features Upsell,Completed,2/19/2025,7/8/2025,30957,28441
316,High CLV Customers,End-of-Year Upsell,Completed,1/21/2025,4/23/2025,70520,55661
317,New Signups (Last 30 Days),Getting Started Journey,Completed,3/18/2025,6/13/2025,94749,103276
318,New Signups (Last 30 Days),New Signup Nurture,Completed,3/19/2025,7/30/2025,88005,80118
319,Churn Risk,Winback Flow,Scheduled,6/7/2025,4/6/2025,34896,24430
320,Inactive > 90 Days,Inactivity Reactivation Flow,Active,8/8/2025,8/9/2025,57628,56663
321,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,2/23/2025,6/3/2025,28651,22827
322,Inactive > 90 Days,Deep Winback,Completed,4/10/2025,1/5/2025,97433,89946
323,Churn Risk,We Miss You,Active,7/25/2025,5/16/2025,40248,32058
324,Churn Risk,We Miss You,Active,9/30/2025,8/29/2025,5256,5357
325,Churn Risk,Winback Flow,Scheduled,4/11/2025,2/18/2025,23882,21717
326,High CLV Customers,Premium Features Upsell,Scheduled,6/22/2025,7/11/2025,59295,55610
327,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,12/14/2024,8/31/2025,37321,40330
328,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,7/9/2025,10/23/2025,39822,29294
329,New Signups (Last 30 Days),Getting Started Journey,Active,12/11/2024,6/3/2025,65833,60978
330,New Signups (Last 30 Days),New Signup Nurture,Completed,3/22/2025,5/21/2025,46543,50867
331,High CLV Customers,Exclusive Member Upgrade,Scheduled,12/26/2024,9/2/2025,34759,28074
332,High CLV Customers,Premium Features Upsell,Scheduled,4/14/2025,7/29/2025,58697,44743
333,Churn Risk,Winback Flow,Completed,9/12/2025,8/20/2025,76602,71275
334,Inactive > 90 Days,Deep Winback,Active,5/6/2025,6/25/2025,89305,72176
335,New Signups (Last 30 Days),Getting Started Journey,Completed,10/31/2025,2/5/2025,86900,65671
336,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,3/16/2025,11/5/2025,93109,80229
337,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,4/20/2025,11/9/2025,32148,27424
338,Inactive > 90 Days,Inactivity Reactivation Flow,Active,10/2/2025,10/26/2025,11534,9542
339,Churn Risk,Reactivation Journey,Active,4/11/2025,12/8/2025,89514,66470
340,New Signups (Last 30 Days),Welcome Series – Step 2,Active,2/1/2025,10/5/2025,21832,19661
341,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,1/27/2025,1/26/2025,16072,16688
342,Inactive > 90 Days,Inactivity Reactivation Flow,Active,11/23/2025,5/2/2025,27560,26162
343,Churn Risk,We Miss You,Active,1/13/2025,7/13/2025,66955,62036
344,High CLV Customers,VIP Rewards,Active,11/13/2025,2/2/2025,81692,75921
345,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,8/19/2025,6/27/2025,56708,61800
346,Inactive > 90 Days,Deep Winback,Active,10/19/2025,1/14/2025,68937,63302
347,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,12/7/2025,10/26/2025,63185,53391
348,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,11/16/2025,5/4/2025,45344,33388
349,Churn Risk,Winback Flow,Completed,4/5/2025,9/26/2025,42912,39786
350,Churn Risk,We Miss You,Active,9/24/2025,6/7/2025,31842,30655
351,High CLV Customers,Premium Features Upsell,Active,10/8/2025,11/18/2025,32266,33124
352,New Signups (Last 30 Days),New Signup Nurture,Scheduled,8/12/2025,7/25/2025,52556,44654
353,Inactive > 90 Days,Come-Back Offer,Scheduled,4/9/2025,2/3/2025,67666,68098
354,Inactive > 90 Days,Deep Winback,Scheduled,1/25/2025,7/10/2025,88690,82657
355,New Signups (Last 30 Days),New Signup Nurture,Scheduled,9/28/2025,4/27/2025,1793,1833
356,Churn Risk,Loyalty Reminder,Completed,1/9/2025,7/2/2025,79598,86521
357,Churn Risk,Reactivation Journey,Active,1/7/2025,7/20/2025,6718,4847
358,Inactive > 90 Days,Come-Back Offer,Completed,7/9/2025,8/6/2025,7507,6295
359,High CLV Customers,Premium Features Upsell,Scheduled,5/28/2025,6/29/2025,26014,24561
360,Churn Risk,Reactivation Journey,Active,5/7/2025,7/13/2025,9427,8771
361,Inactive > 90 Days,Deep Winback,Active,8/17/2025,7/8/2025,21269,15337
362,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,12/4/2025,10/31/2025,53829,42591
363,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,5/7/2025,4/19/2025,4162,3107
364,New Signups (Last 30 Days),Welcome Series – Step 1,Active,11/26/2025,4/9/2025,44465,39267
365,Inactive > 90 Days,Deep Winback,Scheduled,10/9/2025,2/24/2025,11433,11170
366,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,9/2/2025,12/20/2024,50661,45824
367,High CLV Customers,Premium Features Upsell,Scheduled,1/3/2025,3/23/2025,4055,3719
368,New Signups (Last 30 Days),Getting Started Journey,Completed,3/16/2025,10/6/2025,97496,102447
369,Churn Risk,Winback Flow,Active,11/23/2025,7/15/2025,33140,28701
370,High CLV Customers,Exclusive Member Upgrade,Completed,6/18/2025,7/28/2025,36986,32832
371,Churn Risk,We Miss You,Completed,8/19/2025,7/4/2025,21356,21499
372,Churn Risk,We Miss You,Scheduled,6/20/2025,11/12/2025,49699,35785
373,Churn Risk,Loyalty Reminder,Scheduled,7/27/2025,9/24/2025,36213,34840
374,Inactive > 90 Days,Deep Winback,Scheduled,8/2/2025,10/14/2025,55468,54858
375,Inactive > 90 Days,Deep Winback,Scheduled,1/15/2025,8/17/2025,32973,30921
376,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,1/28/2025,2/21/2025,80645,74679
377,High CLV Customers,Exclusive Member Upgrade,Completed,12/5/2025,3/6/2025,69800,53808
378,Inactive > 90 Days,Come-Back Offer,Active,9/23/2025,5/30/2025,82543,78913
379,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,4/26/2025,8/23/2025,93196,94973
380,New Signups (Last 30 Days),Getting Started Journey,Active,10/11/2025,9/15/2025,63258,66345
381,Inactive > 90 Days,Come-Back Offer,Scheduled,5/2/2025,2/2/2025,30500,23242
382,High CLV Customers,Exclusive Member Upgrade,Scheduled,6/14/2025,2/16/2025,36320,26485
383,Churn Risk,Winback Flow,Scheduled,5/31/2025,2/27/2025,9991,9702
384,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,1/29/2025,1/19/2025,91725,94698
385,Inactive > 90 Days,Come-Back Offer,Completed,5/3/2025,3/27/2025,91407,74559
386,High CLV Customers,Exclusive Member Upgrade,Completed,5/5/2025,10/29/2025,60969,46441
387,Inactive > 90 Days,Deep Winback,Completed,2/4/2025,8/4/2025,40590,42558
388,Churn Risk,Winback Flow,Active,12/12/2024,1/12/2025,23286,23632
389,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,10/25/2025,3/17/2025,6812,5613
390,Churn Risk,We Miss You,Scheduled,6/12/2025,2/15/2025,92547,73628
391,New Signups (Last 30 Days),Getting Started Journey,Scheduled,1/21/2025,3/20/2025,67780,49204
392,New Signups (Last 30 Days),Getting Started Journey,Active,3/8/2025,12/21/2024,19069,16928
393,Churn Risk,Winback Flow,Completed,10/24/2025,8/3/2025,38535,31692
394,New Signups (Last 30 Days),New Signup Nurture,Completed,10/29/2025,11/7/2025,58161,40823
395,New Signups (Last 30 Days),Welcome Series – Step 2,Active,4/7/2025,9/17/2025,13100,11314
396,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,5/19/2025,5/11/2025,5495,5732
397,Inactive > 90 Days,Come-Back Offer,Active,4/28/2025,6/2/2025,42913,46606
398,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,5/4/2025,9/22/2025,96929,73908
399,Inactive > 90 Days,Inactivity Reactivation Flow,Active,9/1/2025,9/26/2025,30152,32153
400,New Signups (Last 30 Days),Getting Started Journey,Completed,3/23/2025,12/3/2025,30832,30188
401,Churn Risk,Loyalty Reminder,Active,4/24/2025,1/16/2025,53632,39284
402,Churn Risk,Loyalty Reminder,Completed,8/2/2025,9/12/2025,38317,29660
403,Churn Risk,Loyalty Reminder,Scheduled,6/23/2025,4/3/2025,44079,31917
404,Churn Risk,We Miss You,Scheduled,2/13/2025,6/24/2025,74055,59967
405,New Signups (Last 30 Days),New Signup Nurture,Active,4/12/2025,2/19/2025,84912,63362
406,Inactive > 90 Days,Deep Winback,Completed,3/17/2025,8/11/2025,28874,22668
407,New Signups (Last 30 Days),Getting Started Journey,Scheduled,11/11/2025,2/27/2025,41195,34332
408,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,9/18/2025,7/2/2025,32432,33378
409,Churn Risk,Reactivation Journey,Completed,10/20/2025,8/20/2025,87816,69688
410,High CLV Customers,Exclusive Member Upgrade,Scheduled,11/19/2025,7/12/2025,50070,44128
411,Churn Risk,Loyalty Reminder,Completed,5/17/2025,3/10/2025,63373,44684
412,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,4/11/2025,5/7/2025,81747,88432
413,New Signups (Last 30 Days),Getting Started Journey,Scheduled,5/5/2025,12/7/2025,2656,2833
414,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,9/12/2025,12/5/2025,2061,1828
415,Churn Risk,Reactivation Journey,Completed,10/27/2025,2/2/2025,82614,67917
416,Inactive > 90 Days,Deep Winback,Scheduled,8/26/2025,11/26/2025,81919,83329
417,New Signups (Last 30 Days),New Signup Nurture,Scheduled,5/10/2025,4/28/2025,32522,26929
418,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,2/3/2025,3/16/2025,50006,53855
419,High CLV Customers,End-of-Year Upsell,Completed,8/10/2025,9/29/2025,24366,21381
420,Churn Risk,Winback Flow,Completed,10/3/2025,11/7/2025,77835,72452
421,New Signups (Last 30 Days),Welcome Series – Step 2,Active,4/11/2025,12/7/2025,66859,55830
422,Churn Risk,Reactivation Journey,Active,9/27/2025,11/27/2025,54894,41615
423,High CLV Customers,VIP Rewards,Completed,4/9/2025,9/22/2025,77082,78372
424,Inactive > 90 Days,Come-Back Offer,Scheduled,9/11/2025,4/5/2025,96218,79164
425,New Signups (Last 30 Days),Getting Started Journey,Scheduled,1/22/2025,7/15/2025,26347,22425
426,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,1/7/2025,4/5/2025,12309,9114
427,New Signups (Last 30 Days),Getting Started Journey,Completed,11/13/2025,7/6/2025,61873,57273
428,Churn Risk,We Miss You,Active,11/22/2025,6/16/2025,80477,84240
429,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,5/21/2025,11/6/2025,80821,72407
430,Inactive > 90 Days,Come-Back Offer,Completed,11/23/2025,6/18/2025,29272,29580
431,High CLV Customers,Exclusive Member Upgrade,Scheduled,11/16/2025,4/9/2025,93254,93622
432,High CLV Customers,End-of-Year Upsell,Active,8/18/2025,6/10/2025,40691,29970
433,New Signups (Last 30 Days),Welcome Series – Step 2,Active,3/26/2025,4/21/2025,25715,18868
434,New Signups (Last 30 Days),Welcome Series – Step 1,Active,4/18/2025,3/24/2025,3771,2928
435,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,10/26/2025,3/14/2025,82196,63588
436,New Signups (Last 30 Days),Getting Started Journey,Completed,5/5/2025,11/2/2025,23743,20166
437,Churn Risk,Loyalty Reminder,Active,12/25/2024,2/20/2025,69427,58846
438,Churn Risk,Loyalty Reminder,Scheduled,6/13/2025,10/10/2025,8111,5745
439,High CLV Customers,Premium Features Upsell,Scheduled,3/25/2025,4/16/2025,9155,7740
440,Churn Risk,We Miss You,Scheduled,10/18/2025,4/29/2025,89851,72275
441,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,8/11/2025,2/27/2025,88911,86470
442,Churn Risk,We Miss You,Active,3/20/2025,8/31/2025,49237,41755
443,New Signups (Last 30 Days),New Signup Nurture,Completed,9/12/2025,7/14/2025,95657,88506
444,Inactive > 90 Days,Come-Back Offer,Completed,12/14/2024,11/17/2025,43359,35686
445,New Signups (Last 30 Days),Welcome Series – Step 2,Active,3/30/2025,7/11/2025,19974,19811
446,Inactive > 90 Days,Come-Back Offer,Completed,4/16/2025,8/8/2025,24263,17762
447,High CLV Customers,Premium Features Upsell,Active,3/18/2025,7/18/2025,89963,95133
448,High CLV Customers,End-of-Year Upsell,Active,9/22/2025,3/21/2025,14715,11754
449,High CLV Customers,Premium Features Upsell,Completed,8/8/2025,12/23/2024,38856,39329
450,Churn Risk,Loyalty Reminder,Active,5/16/2025,11/18/2025,69440,68384
451,Churn Risk,Reactivation Journey,Scheduled,12/18/2024,7/6/2025,31902,24859
452,Churn Risk,We Miss You,Scheduled,1/20/2025,6/12/2025,76636,82239
453,New Signups (Last 30 Days),Getting Started Journey,Active,3/12/2025,4/10/2025,9066,8751
454,New Signups (Last 30 Days),New Signup Nurture,Active,4/27/2025,1/27/2025,42598,46739
455,High CLV Customers,Premium Features Upsell,Active,5/24/2025,11/6/2025,45150,46364
456,Churn Risk,Reactivation Journey,Active,1/26/2025,8/21/2025,9930,8985
457,New Signups (Last 30 Days),New Signup Nurture,Scheduled,10/3/2025,11/24/2025,14528,15965
458,New Signups (Last 30 Days),Getting Started Journey,Active,1/31/2025,3/9/2025,99128,98134
459,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,8/21/2025,7/29/2025,28857,27312
460,High CLV Customers,End-of-Year Upsell,Active,6/19/2025,1/21/2025,67667,54087
461,New Signups (Last 30 Days),Getting Started Journey,Scheduled,1/13/2025,9/28/2025,41004,37761
462,New Signups (Last 30 Days),Getting Started Journey,Completed,1/13/2025,1/3/2025,95619,86587
463,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,6/25/2025,4/26/2025,38617,30986
464,High CLV Customers,Exclusive Member Upgrade,Scheduled,4/30/2025,5/25/2025,78454,68390
465,New Signups (Last 30 Days),New Signup Nurture,Completed,1/31/2025,3/23/2025,73205,73402
466,High CLV Customers,Exclusive Member Upgrade,Scheduled,12/20/2024,8/19/2025,40086,38356
467,Inactive > 90 Days,Come-Back Offer,Scheduled,3/20/2025,11/8/2025,3456,3433
468,High CLV Customers,VIP Rewards,Completed,12/26/2024,2/20/2025,44982,45788
469,Churn Risk,We Miss You,Active,5/5/2025,12/10/2024,43024,47091
470,Inactive > 90 Days,Deep Winback,Completed,4/20/2025,4/11/2025,59197,64420
471,High CLV Customers,Premium Features Upsell,Completed,2/20/2025,9/27/2025,71216,75498
472,High CLV Customers,Premium Features Upsell,Active,10/8/2025,12/6/2025,44241,46803
473,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,11/24/2025,7/29/2025,79957,75262
474,High CLV Customers,Premium Features Upsell,Completed,4/8/2025,7/13/2025,83603,72528
475,High CLV Customers,Premium Features Upsell,Active,2/1/2025,7/16/2025,92124,86104
476,High CLV Customers,Exclusive Member Upgrade,Completed,9/28/2025,9/16/2025,41976,38011
477,Inactive > 90 Days,Inactivity Reactivation Flow,Active,5/21/2025,8/21/2025,57547,58279
478,Inactive > 90 Days,Come-Back Offer,Completed,7/26/2025,7/31/2025,74943,54029
479,High CLV Customers,Exclusive Member Upgrade,Active,4/2/2025,6/28/2025,19613,20978
480,High CLV Customers,Premium Features Upsell,Completed,3/12/2025,7/21/2025,40114,29204
481,New Signups (Last 30 Days),Getting Started Journey,Completed,7/25/2025,1/13/2025,24252,20687
482,Churn Risk,We Miss You,Active,10/5/2025,2/25/2025,92656,100885
483,Inactive > 90 Days,Come-Back Offer,Completed,4/26/2025,10/24/2025,80401,86962
484,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,4/23/2025,8/16/2025,83557,76219
485,High CLV Customers,End-of-Year Upsell,Active,2/9/2025,12/1/2025,36538,29688
486,High CLV Customers,Premium Features Upsell,Scheduled,3/23/2025,6/3/2025,39573,42663
487,Inactive > 90 Days,Come-Back Offer,Active,8/7/2025,11/20/2025,50997,51814
488,New Signups (Last 30 Days),Welcome Series – Step 1,Active,8/27/2025,10/11/2025,96913,75858
489,High CLV Customers,End-of-Year Upsell,Completed,2/28/2025,10/5/2025,3151,3261
490,Churn Risk,Reactivation Journey,Active,7/23/2025,3/13/2025,57437,46507
491,Inactive > 90 Days,Inactivity Reactivation Flow,Active,6/24/2025,1/27/2025,63607,46406
492,Inactive > 90 Days,Deep Winback,Scheduled,11/4/2025,3/18/2025,48303,43870
493,High CLV Customers,VIP Rewards,Completed,6/26/2025,5/8/2025,79456,85006
494,High CLV Customers,VIP Rewards,Active,8/21/2025,7/30/2025,62413,67819
495,Inactive > 90 Days,Come-Back Offer,Scheduled,10/26/2025,4/6/2025,11557,11470
496,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,5/24/2025,5/8/2025,66643,47435
497,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,4/2/2025,6/23/2025,99407,83858
498,Inactive > 90 Days,Come-Back Offer,Scheduled,4/17/2025,1/20/2025,29823,21358
499,Inactive > 90 Days,Come-Back Offer,Completed,7/22/2025,6/14/2025,75779,55476
500,High CLV Customers,Premium Features Upsell,Scheduled,6/19/2025,12/18/2024,1301,1205
501,New Signups (Last 30 Days),Welcome Series – Step 1,Active,2/17/2025,5/8/2025,25608,27003
502,High CLV Customers,Premium Features Upsell,Completed,2/10/2025,10/24/2025,36893,28121
503,Inactive > 90 Days,Come-Back Offer,Scheduled,8/27/2025,4/5/2025,12520,13572
504,Inactive > 90 Days,Deep Winback,Scheduled,9/10/2025,5/2/2025,60584,59339
505,High CLV Customers,VIP Rewards,Completed,1/27/2025,1/8/2025,92916,89595
506,Churn Risk,Reactivation Journey,Completed,7/14/2025,6/19/2025,27434,26301
507,Inactive > 90 Days,Come-Back Offer,Active,8/19/2025,11/30/2025,16567,12948
508,Churn Risk,Loyalty Reminder,Completed,5/24/2025,4/30/2025,90513,83576
509,Inactive > 90 Days,Deep Winback,Active,10/29/2025,6/7/2025,88324,77820
510,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,10/12/2025,12/29/2024,40474,32520
511,Churn Risk,Loyalty Reminder,Completed,10/10/2025,12/29/2024,67443,55108
512,New Signups (Last 30 Days),New Signup Nurture,Active,9/28/2025,3/27/2025,40577,37063
513,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,11/12/2025,7/14/2025,59524,45577
514,High CLV Customers,Exclusive Member Upgrade,Scheduled,7/6/2025,7/23/2025,77854,61451
515,New Signups (Last 30 Days),Getting Started Journey,Completed,11/22/2025,6/22/2025,12644,13800
516,Churn Risk,Winback Flow,Active,10/25/2025,10/9/2025,10757,8852
517,Inactive > 90 Days,Deep Winback,Active,1/29/2025,7/11/2025,16298,17331
518,Churn Risk,Loyalty Reminder,Scheduled,5/4/2025,3/23/2025,75027,55415
519,New Signups (Last 30 Days),New Signup Nurture,Scheduled,9/18/2025,3/25/2025,9730,9772
520,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,6/24/2025,7/5/2025,88570,90636
521,Churn Risk,Reactivation Journey,Completed,10/6/2025,4/5/2025,56127,40337
522,New Signups (Last 30 Days),New Signup Nurture,Scheduled,8/30/2025,11/12/2025,53761,52543
523,High CLV Customers,End-of-Year Upsell,Active,5/7/2025,4/18/2025,13409,11849
524,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,9/18/2025,12/7/2025,39038,38973
525,Inactive > 90 Days,Deep Winback,Scheduled,9/10/2025,9/26/2025,61723,49685
526,High CLV Customers,VIP Rewards,Active,11/21/2025,11/22/2025,70622,75618
527,New Signups (Last 30 Days),Welcome Series – Step 2,Active,2/23/2025,12/11/2024,35427,36892
528,High CLV Customers,VIP Rewards,Active,11/7/2025,7/17/2025,84164,82627
529,High CLV Customers,End-of-Year Upsell,Active,12/6/2025,10/13/2025,40427,39673
530,High CLV Customers,Premium Features Upsell,Scheduled,10/31/2025,10/21/2025,83537,68209
531,Churn Risk,Reactivation Journey,Completed,3/29/2025,9/27/2025,98141,97655
532,Inactive > 90 Days,Come-Back Offer,Completed,7/15/2025,2/20/2025,12266,12205
533,New Signups (Last 30 Days),New Signup Nurture,Completed,5/2/2025,8/2/2025,37730,31563
534,Churn Risk,Loyalty Reminder,Active,8/7/2025,4/24/2025,60865,46284
535,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,2/28/2025,4/5/2025,29551,31390
536,Inactive > 90 Days,Come-Back Offer,Active,2/17/2025,2/18/2025,40840,42160
537,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,12/13/2024,2/11/2025,96242,68610
538,Churn Risk,Loyalty Reminder,Scheduled,8/31/2025,1/11/2025,71833,65631
539,High CLV Customers,Exclusive Member Upgrade,Active,7/7/2025,6/17/2025,95306,84797
540,Inactive > 90 Days,Deep Winback,Completed,12/2/2025,10/3/2025,22376,21262
541,Churn Risk,Winback Flow,Completed,11/17/2025,6/25/2025,74457,53512
542,Churn Risk,We Miss You,Completed,7/5/2025,10/4/2025,30906,29281
543,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,11/30/2025,3/6/2025,33200,23881
544,High CLV Customers,Exclusive Member Upgrade,Scheduled,4/30/2025,10/21/2025,44057,44604
545,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,2/22/2025,9/10/2025,98654,69179
546,Inactive > 90 Days,Deep Winback,Active,12/20/2024,5/8/2025,35254,30862
547,New Signups (Last 30 Days),New Signup Nurture,Completed,4/15/2025,1/29/2025,51938,54374
548,Churn Risk,Reactivation Journey,Scheduled,8/23/2025,8/12/2025,80098,68473
549,Inactive > 90 Days,Come-Back Offer,Scheduled,6/25/2025,3/12/2025,49400,41244
550,Inactive > 90 Days,Come-Back Offer,Completed,8/24/2025,3/25/2025,78610,58249
551,Churn Risk,Loyalty Reminder,Completed,12/6/2025,7/3/2025,42361,37016
552,High CLV Customers,Exclusive Member Upgrade,Active,8/29/2025,10/14/2025,82233,76010
553,Churn Risk,We Miss You,Scheduled,12/3/2025,7/18/2025,43755,33273
554,High CLV Customers,Premium Features Upsell,Completed,11/2/2025,12/30/2024,18195,13628
555,High CLV Customers,Premium Features Upsell,Scheduled,11/12/2025,12/4/2025,76320,83572
556,Churn Risk,Reactivation Journey,Scheduled,11/26/2025,8/29/2025,89959,67424
557,High CLV Customers,VIP Rewards,Completed,8/22/2025,3/2/2025,47633,38742
558,High CLV Customers,End-of-Year Upsell,Active,9/1/2025,7/5/2025,58307,59124
559,High CLV Customers,Exclusive Member Upgrade,Active,5/23/2025,6/28/2025,49549,41842
560,Churn Risk,We Miss You,Scheduled,12/12/2024,10/6/2025,5329,5587
561,Churn Risk,Winback Flow,Active,9/28/2025,7/5/2025,21890,16249
562,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,9/17/2025,8/6/2025,65635,52454
563,Churn Risk,Loyalty Reminder,Scheduled,1/12/2025,6/27/2025,86856,75052
564,High CLV Customers,End-of-Year Upsell,Active,6/25/2025,12/7/2025,4336,3543
565,New Signups (Last 30 Days),New Signup Nurture,Active,12/15/2024,4/8/2025,72328,59472
566,Inactive > 90 Days,Deep Winback,Completed,10/12/2025,8/14/2025,86245,84558
567,High CLV Customers,Exclusive Member Upgrade,Completed,9/7/2025,1/20/2025,84694,67679
568,Churn Risk,Loyalty Reminder,Active,10/30/2025,6/27/2025,21520,22843
569,New Signups (Last 30 Days),New Signup Nurture,Active,2/2/2025,11/14/2025,58614,60776
570,New Signups (Last 30 Days),Getting Started Journey,Completed,6/24/2025,5/7/2025,29892,21948
571,High CLV Customers,VIP Rewards,Completed,11/19/2025,10/10/2025,31777,32685
572,Churn Risk,Winback Flow,Scheduled,2/25/2025,7/10/2025,61569,46387
573,Inactive > 90 Days,Come-Back Offer,Completed,9/10/2025,2/11/2025,69684,55740
574,Churn Risk,Winback Flow,Completed,7/2/2025,1/31/2025,93616,77209
575,Inactive > 90 Days,Deep Winback,Scheduled,8/24/2025,8/26/2025,48192,46927
576,High CLV Customers,Exclusive Member Upgrade,Active,8/4/2025,5/22/2025,52812,54999
577,Churn Risk,Winback Flow,Scheduled,9/17/2025,11/13/2025,73119,74406
578,Churn Risk,We Miss You,Scheduled,5/1/2025,7/2/2025,16247,14848
579,Churn Risk,Loyalty Reminder,Scheduled,7/16/2025,2/15/2025,12212,10346
580,Churn Risk,Loyalty Reminder,Completed,7/13/2025,3/31/2025,17948,14445
581,High CLV Customers,Premium Features Upsell,Scheduled,5/17/2025,8/6/2025,51293,51972
582,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,7/25/2025,9/3/2025,75245,72430
583,High CLV Customers,Premium Features Upsell,Completed,1/8/2025,3/7/2025,75270,69301
584,Inactive > 90 Days,Deep Winback,Scheduled,4/19/2025,12/27/2024,1720,1678
585,Inactive > 90 Days,Inactivity Reactivation Flow,Scheduled,4/15/2025,7/25/2025,23217,24169
586,New Signups (Last 30 Days),Welcome Series – Step 1,Active,8/28/2025,1/11/2025,90510,76170
587,Inactive > 90 Days,Come-Back Offer,Scheduled,7/10/2025,9/1/2025,11471,12309
588,Inactive > 90 Days,Come-Back Offer,Scheduled,7/11/2025,8/5/2025,78298,68112
589,Churn Risk,Winback Flow,Completed,9/17/2025,2/15/2025,36742,36917
590,New Signups (Last 30 Days),Welcome Series – Step 1,Completed,6/18/2025,11/11/2025,18518,18324
591,High CLV Customers,End-of-Year Upsell,Completed,2/26/2025,1/30/2025,33963,32524
592,High CLV Customers,VIP Rewards,Completed,7/20/2025,2/21/2025,55309,45325
593,Churn Risk,Loyalty Reminder,Scheduled,1/30/2025,10/19/2025,5898,5407
594,High CLV Customers,Exclusive Member Upgrade,Active,8/23/2025,6/19/2025,67685,49334
595,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,4/12/2025,3/24/2025,14332,12848
596,Churn Risk,Reactivation Journey,Active,2/3/2025,4/6/2025,20533,14970
597,Churn Risk,We Miss You,Completed,2/28/2025,8/16/2025,84106,75704
598,Inactive > 90 Days,Inactivity Reactivation Flow,Active,12/12/2024,2/12/2025,16423,12001
599,New Signups (Last 30 Days),Welcome Series – Step 1,Active,6/24/2025,3/9/2025,49773,42703
600,New Signups (Last 30 Days),New Signup Nurture,Completed,12/20/2024,11/28/2025,72313,72339
601,New Signups (Last 30 Days),New Signup Nurture,Completed,3/17/2025,2/16/2025,60059,58331
602,Churn Risk,Loyalty Reminder,Active,8/28/2025,9/25/2025,53163,37296
603,High CLV Customers,Exclusive Member Upgrade,Completed,6/19/2025,3/14/2025,74402,79492
604,High CLV Customers,Exclusive Member Upgrade,Scheduled,10/27/2025,12/20/2024,51792,44134
605,High CLV Customers,VIP Rewards,Completed,6/22/2025,6/4/2025,65477,53802
606,Inactive > 90 Days,Deep Winback,Scheduled,6/8/2025,7/19/2025,88879,71428
607,High CLV Customers,Premium Features Upsell,Scheduled,3/2/2025,7/5/2025,84832,80251
608,High CLV Customers,Exclusive Member Upgrade,Scheduled,4/28/2025,11/29/2025,40330,33748
609,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,2/17/2025,4/13/2025,96552,73384
